Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Wailmer (Shadow),81.9,320,water,none,117.4,68.3,239,1916533,48.5,1500,Water Gun,Body Slam,Scald,12,17,1,10000
Tangrowth (Shadow),81.8,465,grass,none,121.8,112,135,1842421,18.5,1498,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Bellossom,81.7,182,grass,none,115.7,132.9,126,1937741,24.5,1499,Bullet Seed,Leaf Blade,Return,3,6,3,50000
Dartrix,81.7,723,grass,flying,112.3,116.8,152,1993822,34.5,1498,Leafage,Brave Bird,Seed Bomb,8,7,3,10000
Fraxure,81.7,611,dragon,none,145.5,89.3,119,1545235,24.5,1499,Dragon Tail,Dragon Claw,Aqua Tail,4,4,5,75000
Perrserker,81.7,863,steel,none,128.9,114.6,117,1728225,23.5,1493,Shadow Claw,Close Combat,Foul Play,6,6,3,50000
Staraptor,81.7,398,normal,flying,140.4,90.8,124,1581461,19.5,1492,Wing Attack,Fly,Close Combat,6,6,1,10000
Bayleef (Shadow),81.6,153,grass,none,105.6,141.6,141,2107468,49.5,1494,Razor Leaf,Grass Knot,Ancient Power,13,12,3,10000
Bellossom (Shadow),81.6,182,grass,none,115.7,132.9,126,1937741,24.5,1499,Bullet Seed,Leaf Blade,Dazzling Gleam,3,6,3,50000
Furfrou,81.6,676,normal,none,116.6,122.9,134,1919933,27,1500,Sand Attack,Surf,Grass Knot,10,13,5,75000
Gloom (Shadow),81.6,44,grass,poison,122.6,114.9,130,1830873,37.5,1500,Razor Leaf,Sludge Bomb,Moonblast,13,15,3,50000
Staraptor (Shadow),81.6,398,normal,flying,140.4,90.8,124,1581461,19.5,1492,Wing Attack,Fly,Close Combat,6,6,1,10000
Staravia,81.6,397,normal,flying,131.9,91.6,135,1631281,50,1468,Wing Attack,Brave Bird,Fly,7,6,1,10000
Tentacruel,81.6,73,water,poison,110.1,139.9,132,2032660,23.5,1496,Poison Jab,Acid Spray,Scald,7,8,3,50000
Oinkologne (Female),81.5,916,normal,none,110.9,110.3,166,2029519,22.5,1500,Tackle,Body Slam,Dig,12,17,1,10000
Staravia (Shadow),81.5,397,normal,flying,131.9,91.6,135,1631281,50,1468,Wing Attack,Brave Bird,Fly,7,6,1,10000
Buzzwole,81.4,794,bug,fighting,129.3,112.7,119,1735016,16,1498,Counter,Superpower,Lunge,6,7,20,100000
Heatran,81.4,485,fire,steel,130.9,114.9,114,1714040,15,1500,Fire Spin,Magma Storm,Stone Edge,4,6,20,100000
Hypno,81.4,97,psychic,none,103.7,140.8,148,2160673,27.5,1499,Confusion,Shadow Ball,Thunder Punch,5,4,3,50000
Typhlosion,81.4,157,fire,none,132.2,108.3,117,1674892,19,1488,Incinerate,Blast Burn,Thunder Punch,3,2,3,10000
Galvantula,81.3,596,bug,electric,139,93.8,124,1615746,25.5,1499,Volt Switch,Discharge,Lunge,3,3,3,50000
Lapras,81.3,131,water,ice,104.7,114,179,2135530,21.5,1497,Ice Shard,Surf,Skull Bash,4,8,5,75000
Tangrowth,81.3,465,grass,none,121.8,112,135,1842421,18.5,1498,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Bombirdier,81.2,962,flying,dark,128,115.3,118,1741817,22.5,1496,Wing Attack,Fly,Payback,6,8,5,75000
Bruxish,81.2,779,water,psychic,137.3,100.4,118,1626064,23.5,1497,Confusion,Aqua Tail,Psychic Fangs,3,3,3,50000
Gengar (Shadow),81.2,94,ghost,poison,156.6,94.3,97,1433181,19,1500,Shadow Claw,Shadow Ball,Shadow Punch,7,5,3,50000
Sceptile (Shadow),81.2,254,grass,none,136.9,108.5,110,1633945,19.5,1497,Bullet Seed,Leaf Blade,Earthquake,3,5,3,10000
Hawlucha,81.1,701,fighting,flying,128.9,108.8,124,1738490,23.5,1498,Poison Jab,Flying Press,Aerial Ace,6,6,5,75000
Avalugg (Hisuian),81,713,ice,rock,117,134.7,121,1906728,16,1498,Powder Snow,Rock Slide,Icy Wind,6,6,3,50000
Escavalier,81,589,bug,steel,133.9,116.8,107,1673454,19.5,1499,Counter,Drill Run,Megahorn,7,8,3,50000
Galvantula (Shadow),81,596,bug,electric,139,93.8,124,1615746,25.5,1499,Volt Switch,Discharge,Lunge,3,3,3,50000
Granbull (Shadow),81,210,fairy,none,135.3,87.7,139,1650182,22,1494,Charm,Close Combat,Crunch,8,8,3,50000
Raichu,81,26,electric,none,133.6,110.6,113,1669771,25.5,1495,Volt Switch,Wild Charge,Brick Break,3,3,1,10000
Seaking,81,119,water,none,123.1,105.9,140,1825075,26.5,1500,Poison Jab,Drill Run,Icy Wind,7,7,3,50000
Sudowoodo,81,185,rock,none,117.2,130.1,125,1905357,26,1496,Counter,Meteor Beam,Rock Slide,9,7,5,75000
Vileplume (Shadow),80.9,45,grass,poison,129.1,110.9,121,1732053,22,1498,Razor Leaf,Sludge Bomb,Moonblast,13,15,3,50000
Falinks,80.8,870,fighting,none,128.2,119.8,113,1735815,23.5,1494,Counter,Superpower,Megahorn,6,8,5,75000
Lileep,80.8,345,rock,grass,100.8,138.6,151,2111110,50,1460,Bullet Seed,Grass Knot,Ancient Power,4,4,3,50000
Litleo,80.8,667,fire,normal,121.1,106.1,143,1837354,49,1495,Incinerate,Flame Charge,Crunch,3,3,3,10000
Ninetales (Shadow),80.8,38,fire,none,115.1,133.6,126,1936253,24.5,1494,Ember,Weather Ball (Fire),Overheat,6,10,3,50000
Baxcalibur,80.7,998,dragon,ice,136.2,96.2,125,1638843,15.5,1495,Dragon Breath,Avalanche,Dragon Claw,15,12,5,75000
Beedrill (Shadow),80.7,15,bug,poison,127.6,106.2,129,1749201,31,1494,Poison Jab,X-Scissor,Drill Run,6,7,1,10000
Ivysaur,80.7,2,grass,poison,118.6,121.7,130,1876886,36.5,1493,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Shiftry,80.7,275,grass,dark,134.2,87.7,142,1670632,24,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Turtonator,80.7,776,fire,dragon,114.2,153,112,1956666,25,1496,Incinerate,Dragon Pulse,Overheat,3,3,5,75000
Grotle (Shadow),80.6,388,grass,none,118.3,116.1,138,1895093,30.5,1497,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Leafeon,80.6,470,grass,none,128.1,133.3,102,1742118,18.5,1496,Quick Attack,Leaf Blade,Last Resort,5,7,5,75000
Qwilfish,80.6,211,water,poison,130.5,105.5,123,1693578,27,1490,Poison Sting,Aqua Tail,Sludge Wave,4,8,3,50000
Vaporeon,80.6,134,water,none,119,97.2,163,1886587,17.5,1499,Water Gun,Aqua Tail,Last Resort,12,19,5,75000
Raticate (Alolan),80.5,20,dark,normal,107.5,130.7,148,2078413,37,1496,Quick Attack,Crunch,Return,6,9,1,10000
Gengar,80.4,94,ghost,poison,156.6,94.3,97,1433181,19,1500,Shadow Claw,Shadow Ball,Shadow Punch,7,5,3,50000
Grimer,80.4,88,poison,none,121.5,88,171,1827419,49.5,1493,Poison Jab,Mud Bomb,Sludge Bomb,6,8,3,50000
Skuntank (Shadow),80.4,435,poison,dark,121.7,95.2,157,1819546,23.5,1490,Poison Jab,Crunch,Trailblaze,7,8,3,50000
Ivysaur (Shadow),80.3,2,grass,poison,118.6,121.7,130,1876886,36.5,1493,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Lucario,80.3,448,fighting,steel,145.8,95.6,110,1532231,20.5,1494,Counter,Thunder Punch,Shadow Ball,6,8,5,75000
Probopass,80.3,476,rock,steel,96.8,200,119,2305422,28,1497,Spark,Rock Slide,Zap Cannon,7,12,3,50000
Skuntank,80.3,435,poison,dark,121.7,95.2,157,1819546,23.5,1490,Poison Jab,Crunch,Trailblaze,7,8,3,50000
Blastoise (Shadow),80.2,9,water,none,111.5,140.7,127,1992357,22.5,1492,Water Gun,Hydro Cannon,Ice Beam,14,19,3,10000
Crocalor,80.2,910,fire,none,119.8,106.3,146,1858803,28.5,1496,Incinerate,Crunch,Disarming Voice,3,3,3,10000
Graveler (Alolan) (Shadow),80.2,75,rock,electric,122.9,127.3,117,1831093,30,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Grovyle,80.2,253,grass,none,137.4,101.7,117,1633904,37.5,1499,Quick Attack,Leaf Blade,Aerial Ace,5,5,3,10000
Muk (Shadow),80.2,89,poison,none,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Nidorina (Shadow),80.2,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Poison Fang,Dig,5,6,3,50000
Amaura,80.1,698,rock,ice,114.3,104.2,164,1952869,50,1497,Powder Snow,Weather Ball (Ice),Thunderbolt,5,7,5,75000
Gardevoir (Shadow),80.1,282,psychic,fairy,137.2,114.5,104,1633015,18,1498,Charm,Triple Axel,Shadow Ball,8,10,5,75000
Lapras (Shadow),80.1,131,water,ice,104.7,114,179,2135530,21.5,1497,Ice Shard,Surf,Skull Bash,4,8,5,75000
Lickilicky,80.1,463,normal,none,106.3,121.1,164,2111832,23,1498,Lick,Body Slam,Shadow Ball,12,19,3,50000
Mantyke,80.1,458,water,flying,100.8,163,120,1972572,50,1411,Bubble,Aerial Ace,Water Pulse,4,5,5,10000
Drifblim (Shadow),80,426,ghost,flying,119.8,75,208,1867826,23,1498,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Latios (Shadow),80,381,dragon,psychic,138.4,112.9,103,1609480,14.5,1497,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Regice,80,378,ice,none,103.7,180.2,115,2149641,18,1497,Lock On,Blizzard,Earthquake,15,13,20,100000
Tentacruel (Shadow),80,73,water,poison,110.1,139.9,132,2032660,23.5,1496,Poison Jab,Acid Spray,Scald,7,8,3,50000
Vullaby,79.9,629,dark,flying,100.8,129.4,157,2048662,50,1437,Feint Attack,Brave Bird,Foul Play,10,8,5,75000
Moltres (Galarian),79.8,146,dark,flying,115.1,137.5,122,1930734,17.5,1493,Wing Attack,Ancient Power,Brave Bird,6,7,20,100000
Sandslash (Shadow),79.8,28,ground,none,120.5,121.1,126,1837863,23.5,1493,Sand Attack,Night Slash,Scorching Sands,9,13,3,50000
Electivire (Shadow),79.6,466,electric,none,144,98,110,1552610,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Hitmonchan,79.6,107,fighting,none,128.2,137.3,98,1725104,23.5,1490,Counter,Ice Punch,Thunder Punch,6,6,5,75000
Marowak (Shadow),79.6,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Rock Slide,Bone Club,5,4,3,50000
Slowbro (Galarian),79.6,80,poison,psychic,119.1,108.4,145,1871629,22.5,1493,Poison Jab,Surf,Sludge Bomb,6,8,3,50000
Slurpuff,79.6,685,fairy,none,117.4,118.1,138,1912211,25.5,1499,Charm,Flamethrower,Energy Ball,10,10,3,50000
Araquanid,79.5,752,water,bug,97.9,176.1,133,2292389,33.5,1499,Bug Bite,Bug Buzz,Bubble Beam,20,14,3,50000
Ariados,79.5,168,bug,poison,124.7,102,141,1793573,34,1497,Poison Sting,Lunge,Trailblaze,5,6,1,10000
Aromatisse,79.5,683,fairy,none,116.5,108,153,1924550,24,1497,Charm,Moonblast,Thunderbolt,10,10,3,50000
Frigibax,79.5,996,dragon,ice,125.2,84.9,149,1583298,50,1410,Dragon Breath,Avalanche,Dragon Claw,15,12,5,75000
Golem (Alolan) (Shadow),79.5,76,rock,electric,125.2,121.7,117,1782513,19,1497,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Melmetal,79.5,809,steel,none,121.5,107.8,141,1846977,15.5,1500,Thunder Shock,Superpower,Rock Slide,5,5,20,100000
Raikou,79.5,243,electric,none,130.9,110.1,118,1700490,16,1492,Thunder Shock,Wild Charge,Shadow Ball,5,7,20,100000
Raikou (Shadow),79.5,243,electric,none,130.9,110.1,118,1700490,16,1492,Thunder Shock,Wild Charge,Shadow Ball,5,7,20,100000
Tyrunt,79.5,696,rock,dragon,127.6,106.3,129,1749486,39.5,1499,Dragon Tail,Dragon Claw,Ancient Power,4,5,5,75000
Incineroar,79.4,727,fire,dark,125.8,106.9,132,1775070,18.5,1498,Snarl,Darkest Lariat,Blast Burn,5,4,3,10000
Magneton (Shadow),79.4,82,electric,steel,144.7,112.8,95,1550755,22,1500,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Pangoro,79.4,675,fighting,dark,134.5,92,134,1658196,19,1496,Snarl,Close Combat,Night Slash,4,3,3,50000
Rapidash,79.4,78,fire,none,134.7,110.9,111,1658326,22,1498,Incinerate,Drill Run,Flame Charge,3,3,3,50000
Zygarde (50% Forme),79.4,718,dragon,ground,112.3,131.3,135,1991298,16.5,1496,Dragon Tail,Crunch,Earthquake,5,8,20,100000
Farfetch'd (Galarian),79.3,83,fighting,none,137.9,97.8,120,1618657,36.5,1494,Fury Cutter,Leaf Blade,Brave Bird,9,14,3,50000
Girafarig (Shadow),79.3,203,normal,psychic,129.1,102.7,129,1711052,27,1486,Double Kick,Psychic Fangs,Thunderbolt,3,5,3,50000
Hariyama,79.3,297,fighting,none,125.6,75.5,186,1764581,19.5,1492,Counter,Close Combat,Heavy Slam,7,8,3,50000
Lileep (Shadow),79.3,345,rock,grass,100.8,138.6,151,2111110,50,1460,Bullet Seed,Grass Knot,Ancient Power,4,4,3,50000
Muk,79.3,89,poison,none,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Farfetch'd,79.2,83,normal,flying,116.8,109.2,131,1671469,50,1397,Fury Cutter,Leaf Blade,Aerial Ace,9,10,3,50000
Grimer (Alolan) (Shadow),79.2,88,poison,dark,123.6,86,171,1818779,49,1500,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Magcargo,79.2,219,fire,rock,110.2,157.9,116,2017737,36.5,1492,Incinerate,Rock Tomb,Overheat,3,3,1,10000
Zapdos (Galarian),79.2,145,fighting,flying,135.2,106.2,115,1651425,15.5,1495,Counter,Ancient Power,Brave Bird,7,8,20,100000
Beedrill,79.1,15,bug,poison,127.6,106.2,129,1749201,31,1494,Poison Jab,X-Scissor,Drill Run,6,7,1,10000
Bewear,79.1,760,normal,fighting,130.4,85.6,154,1717970,18,1497,Shadow Claw,Superpower,Stomp,5,5,1,10000
Grimer (Alolan),79.1,88,poison,dark,123.6,86,171,1818779,49,1500,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Ampharos (Shadow),79,181,electric,none,127.4,106.8,129,1754935,19.5,1499,Volt Switch,Thunder Punch,Trailblaze,3,4,5,75000
Armarouge,79,936,fire,psychic,133.6,110.6,114,1684722,17.5,1500,Incinerate,Psyshock,Flame Charge,3,3,5,50000
Celesteela,79,797,steel,flying,119.6,119,131,1864503,18,1495,Smack Down,Body Slam,Iron Head,5,7,20,100000
Palossand,79,770,ghost,ground,116.6,120.4,136,1909914,23,1494,Sand Attack,Scorching Sands,Shadow Ball,13,14,3,50000
Sceptile,79,254,grass,none,136.9,108.5,110,1633945,19.5,1497,Bullet Seed,Leaf Blade,Earthquake,3,5,3,10000
Vikavolt,79,738,bug,electric,146.4,94.4,111,1534869,17.5,1500,Volt Switch,X-Scissor,Fly,3,3,1,10000
Piloswine,78.9,221,ice,ground,121.1,98.2,155,1842165,24,1497,Powder Snow,Avalanche,High Horsepower,6,8,3,50000
Raichu (Alolan),78.9,26,electric,psychic,136.2,111.7,108,1643875,24.5,1499,Volt Switch,Wild Charge,Grass Knot,3,4,1,10000
Scizor (Shadow),78.9,212,bug,steel,137.9,110.3,106,1612512,18.5,1497,Bullet Punch,X-Scissor,Night Slash,6,5,5,75000
Zangoose,78.9,335,normal,none,144.8,87.1,122,1539050,23,1494,Shadow Claw,Close Combat,Night Slash,6,5,3,50000
Ampharos,78.8,181,electric,none,127.4,106.8,129,1754935,19.5,1499,Volt Switch,Thunder Punch,Trailblaze,3,4,5,75000
Raticate (Alolan) (Shadow),78.8,20,dark,normal,107.5,130.7,148,2078413,37,1496,Quick Attack,Crunch,Hyper Beam,6,10,1,10000
Swoobat,78.8,528,psychic,flying,126.9,100.9,138,1767259,35.5,1499,Confusion,Fly,Psychic Fangs,4,3,1,10000
Sylveon,78.8,700,fairy,none,118.9,121.2,131,1888899,18.5,1498,Charm,Moonblast,Psyshock,10,8,5,75000
Dusclops,78.7,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Poltergeist,4,7,3,50000
Eelektross,78.7,604,electric,none,134.4,98,127,1672478,20,1500,Volt Switch,Dragon Claw,Thunderbolt,3,4,1,10000
Houndstone,78.7,972,ghost,none,121,131.2,117,1857323,22.5,1500,Lick,Psychic Fangs,Shadow Ball,12,19,3,50000
Linoone (Galarian),78.7,264,dark,normal,114.6,112.2,152,1953755,39,1497,Snarl,Body Slam,Dig,3,4,1,10000
Ursaring (Shadow),78.7,217,normal,none,140.3,89.1,128,1600223,19,1499,Shadow Claw,Close Combat,Swift,6,5,3,50000
Victini,78.7,494,psychic,fire,120.5,119.4,129,1855163,16.5,1498,Quick Attack,V-Create,Psychic,5,7,20,100000
Genesect,78.5,649,bug,steel,141.1,111.7,100,1575465,16,1498,Fury Cutter,X-Scissor,Techno Blast (Normal),10,14,20,100000
Graveler (Alolan),78.5,75,rock,electric,122.9,127.3,117,1831093,30,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Grovyle (Shadow),78.5,253,grass,none,137.4,101.7,117,1633904,37.5,1499,Bullet Seed,Leaf Blade,Aerial Ace,3,4,3,10000
Sneasel (Hisuian) (Shadow),78.5,215,fighting,poison,135.5,110.7,110,1649923,26.5,1499,Poison Jab,Close Combat,Aerial Ace,7,6,3,50000
Linoone,78.4,264,normal,none,114.6,112.2,152,1953755,39,1497,Shadow Claw,Grass Knot,Dig,7,7,1,10000
Ceruledge,78.3,937,fire,ghost,136.9,114,105,1638875,17.5,1498,Incinerate,Shadow Ball,Flame Charge,3,3,5,50000
Girafarig,78.3,203,normal,psychic,129.1,102.7,129,1711052,27,1486,Double Kick,Psychic Fangs,Thunderbolt,3,5,3,50000
Haxorus,78.3,612,dragon,none,151.1,95.7,102,1475018,15,1496,Counter,Breaking Swipe,Surf,5,6,5,75000
Muk (Alolan) (Shadow),78.3,89,poison,dark,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Dark Pulse,Acid Spray,8,7,3,50000
Spritzee,78.3,682,fairy,none,105,107.6,168,1898008,50,1415,Charm,Thunderbolt,Draining Kiss,10,10,3,50000
Forretress,78.2,205,bug,steel,110.2,141.6,130,2028758,25,1496,Bug Bite,Earthquake,Mirror Shot,22,12,5,75000
Golem (Alolan),78.2,76,rock,electric,125.2,121.7,117,1782513,19,1497,Volt Switch,Wild Charge,Rock Blast,3,3,1,10000
Barbaracle,78.1,689,rock,water,120.4,133.1,115,1841752,20.5,1492,Fury Cutter,Cross Chop,Stone Edge,9,14,3,50000
Bayleef,78.1,153,grass,none,105.6,141.6,141,2107468,49.5,1494,Razor Leaf,Grass Knot,Ancient Power,13,12,3,10000
Bronzong,78.1,437,steel,psychic,111.3,151.8,119,2010401,25.5,1498,Confusion,Psyshock,Payback,4,5,3,50000
Drifblim,78.1,426,ghost,flying,119.8,75,208,1867826,23,1498,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Gourgeist (Large),78.1,711,ghost,grass,116.6,136.9,121,1930877,22.5,1500,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Hydreigon,78.1,635,dark,dragon,136.6,103.5,116,1639587,15,1499,Dragon Breath,Brutal Swing,Flash Cannon,14,24,5,75000
Jirachi,78.1,385,steel,psychic,120.5,119.4,129,1855163,16.5,1498,Confusion,Doom Desire,Psychic,4,5,20,100000
Sandshrew (Alolan),78.1,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Servine,78.1,496,grass,none,107.2,137.4,142,2092314,49.5,1500,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Gourgeist (Super),78,711,ghost,grass,115.8,128.8,130,1939976,21.5,1499,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Luxray,78,405,electric,none,138,99,118,1611912,19,1496,Spark,Wild Charge,Psychic Fangs,7,5,5,75000
Magneton,78,82,electric,steel,144.7,112.8,95,1550755,22,1500,Volt Switch,Discharge,Magnet Bomb,3,3,3,50000
Heracross,77.9,214,bug,fighting,134.7,107.9,114,1655921,17.5,1497,Counter,Close Combat,Rock Blast,7,6,3,50000
Hypno (Shadow),77.9,97,psychic,none,103.7,140.8,148,2160673,27.5,1499,Confusion,Thunder Punch,Fire Punch,4,4,3,50000
Oinkologne,77.9,916,normal,none,118.1,102.8,156,1895471,21,1499,Tackle,Body Slam,Dig,12,17,1,10000
Piloswine (Shadow),77.9,221,ice,ground,121.1,98.2,155,1842165,24,1497,Powder Snow,Avalanche,High Horsepower,6,8,3,50000
Sneasel (Hisuian),77.8,215,fighting,poison,135.5,110.7,110,1649923,26.5,1499,Poison Jab,Close Combat,Aerial Ace,7,6,3,50000
Golduck (Shadow),77.7,55,water,none,125.5,112.2,127,1787063,22.5,1499,Water Gun,Cross Chop,Liquidation,12,15,3,50000
Grotle,77.7,388,grass,none,118.3,116.1,138,1895093,30.5,1497,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Ludicolo,77.7,272,water,grass,117.1,123.7,132,1912593,24,1497,Bubble,Scald,Leaf Storm,5,5,3,50000
Torterra (Shadow),77.7,389,grass,ground,120.5,117.6,131,1857185,19,1496,Razor Leaf,Frenzy Plant,Stone Edge,12,14,3,10000
Wailord (Shadow),77.7,321,water,none,119.6,66.8,235,1876670,25,1500,Water Gun,Surf,Scald,14,17,1,10000
Roserade,77.6,407,grass,poison,143.1,114.9,95,1561844,18.5,1497,Bullet Seed,Weather Ball (Fire),Leaf Storm,3,5,3,50000
Dewott,77.5,502,water,none,124.2,98.6,147,1800321,33.5,1498,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
Donphan (Shadow),77.5,232,ground,none,125.8,112,126,1776372,18.5,1500,Counter,Body Slam,Earthquake,5,10,3,50000
Latios,77.5,381,dragon,psychic,138.4,112.9,103,1609480,14.5,1497,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Mewtwo (Shadow),77.5,150,psychic,none,148.4,94.4,108,1512714,13,1500,Psycho Cut,Psystrike,Thunderbolt,5,7,20,100000
Scizor,77.5,212,bug,steel,137.9,110.3,106,1612512,18.5,1497,Bullet Punch,X-Scissor,Night Slash,6,5,5,75000
Slowking (Shadow),77.4,199,water,psychic,113.4,120.9,143,1961133,22,1493,Water Gun,Surf,Psychic,14,19,3,50000
Sudowoodo (Shadow),77.4,185,rock,none,117.2,130.1,125,1905357,26,1496,Counter,Rock Slide,Meteor Beam,7,9,5,75000
Uxie,77.4,480,psychic,none,102,176.8,122,2200329,22.5,1500,Confusion,Future Sight,Swift,6,4,20,100000
Amoonguss,77.3,591,grass,poison,110.4,102,181,2038411,27,1500,Astonish,Grass Knot,Foul Play,5,5,3,50000
Electivire,77.3,466,electric,none,144,98,110,1552610,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Gourgeist (Small),77.3,711,ghost,grass,117,153.4,106,1903085,24.5,1495,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Magnemite (Shadow),77.3,81,electric,steel,148.7,113.4,89,1501640,50,1495,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Avalugg,77.2,713,ice,none,112.9,142.5,124,1994682,17.5,1500,Ice Fang,Avalanche,Body Slam,9,7,3,50000
Fletchinder,77.2,662,fire,flying,123,103.2,142,1801392,47,1492,Steel Wing,Fly,Aerial Ace,7,6,1,10000
Sandslash,77.2,28,ground,none,120.5,121.1,126,1837863,23.5,1493,Sand Attack,Night Slash,Scorching Sands,9,13,3,50000
Tirtouga (Shadow),77.2,564,water,rock,113.9,132,130,1955087,47,1494,Water Gun,Surf,Body Slam,14,12,5,75000
Ursaring,77.2,217,normal,none,140.3,89.1,128,1600223,19,1499,Shadow Claw,Close Combat,Swift,6,5,3,50000
Articuno,77.1,144,ice,flying,113.2,143.6,122,1983584,18.5,1500,Ice Shard,Icy Wind,Ancient Power,5,5,20,100000
Castform,77.1,351,normal,none,113.4,119.6,146,1979669,38.5,1499,Hex,Weather Ball (Rock),Energy Ball,3,5,5,75000
Castform (Sunny),77,351,fire,none,113.4,119.6,146,1979669,38.5,1499,Ember,Weather Ball (Fire),Solar Beam,6,14,5,75000
Donphan,77,232,ground,none,125.8,112,126,1776372,18.5,1500,Counter,Body Slam,Earthquake,5,10,3,50000
Forretress (Shadow),77,205,bug,steel,110.2,141.6,130,2028758,25,1496,Bug Bite,Earthquake,Mirror Shot,22,12,5,75000
Gloom,77,44,grass,poison,122.6,114.9,130,1830873,37.5,1500,Razor Leaf,Sludge Bomb,Petal Blizzard,13,17,3,50000
Pidgeotto,77,17,normal,flying,110.9,100.8,147,1644149,50,1350,Wing Attack,Aerial Ace,Return,5,9,1,10000
Wailord,77,321,water,none,119.6,66.8,235,1876670,25,1500,Water Gun,Surf,Scald,14,17,1,10000
Gourgeist (Average),76.9,711,ghost,grass,116.6,147,112,1919131,23.5,1500,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Hariyama (Shadow),76.9,297,fighting,none,125.6,75.5,186,1764581,19.5,1492,Counter,Close Combat,Heavy Slam,7,8,3,50000
Quaxwell,76.9,913,water,none,124.7,103.1,139,1786476,32.5,1496,Wing Attack,Liquidation,Aerial Ace,6,5,3,10000
Malamar,76.8,687,dark,psychic,118.5,117.1,136,1887141,24,1499,Psycho Cut,Superpower,Foul Play,5,5,3,50000
Primarina,76.8,730,water,fairy,131.9,116.8,110,1694382,17.5,1499,Charm,Disarming Voice,Hydro Pump,8,13,3,10000
Spinda,76.8,327,normal,none,110.1,110.1,142,1720678,50,1380,Psycho Cut,Icy Wind,Dig,5,6,3,50000
Togekiss,76.8,468,fairy,flying,124.8,125.3,114,1783452,16.5,1495,Charm,Ancient Power,Aura Sphere,8,10,3,50000
Wormadam (Trash),76.8,413,bug,steel,105.2,150.9,134,2126928,42.5,1500,Confusion,Bug Buzz,Iron Head,5,5,1,10000
Kartana,76.7,798,grass,steel,170.7,98.8,78,1316087,15,1500,Razor Leaf,Leaf Blade,Night Slash,9,9,20,100000
Lokix,76.7,920,bug,dark,132.9,104.1,121,1672678,24,1491,Counter,X-Scissor,Dark Pulse,6,8,1,50000
Marowak,76.7,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Rock Slide,Bone Club,5,4,3,50000
Purugly (Shadow),76.6,432,normal,none,125.5,105.5,133,1762021,28.5,1489,Shadow Claw,Aerial Ace,Thunder,5,8,3,50000
Vileplume,76.6,45,grass,poison,129.1,110.9,121,1732053,22,1498,Razor Leaf,Sludge Bomb,Petal Blizzard,13,17,3,50000
Leavanny,76.5,542,bug,grass,131,109,120,1713215,22,1499,Razor Leaf,Leaf Blade,X-Scissor,9,10,1,10000
Naganadel,76.5,804,poison,dragon,149.2,97.2,103,1494370,17.5,1500,Poison Jab,Dragon Claw,Sludge Bomb,5,8,20,100000
Pyroar,76.5,668,fire,normal,135,98,125,1653456,20,1496,Incinerate,Flame Charge,Dark Pulse,3,3,3,10000
Revavroom,76.5,966,steel,poison,135.7,106.6,114,1648064,19,1499,Poison Jab,Overheat,Acid Spray,8,7,3,50000
Slowbro (Shadow),76.5,80,water,psychic,113.4,120.9,143,1961133,22,1493,Water Gun,Surf,Ice Beam,14,19,3,50000
